Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,weight,total inventory weight
Paan Corner,Gillette Mach 3 Turbo Cartridges,6.49,10,6,5.78,232,FALSE,4,low,1392
Personal Care,Dove Daily Shine Shampoo,6.45,5,3,6.12,650,FALSE,650,low,1950
Paan Corner,Dove Daily Shine Shampoo,6.45,5,3,6.12,650,FALSE,650,low,1950
Personal Care,"L'Oreal Paris Excellence Creme Hair Color, 1 Black",6.2,0,1,6.2,172,FALSE,172,low,172
Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 1 Black",6.2,0,1,6.2,172,FALSE,172,low,172
Personal Care,"L'Oreal Paris Excellence Creme Hair Color, 3 Dark Brown/Natural Darkest Brown",6.2,0,6,6.2,172,FALSE,172,low,1032
Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 3 Dark Brown/Natural Darkest Brown",6.2,0,6,6.2,172,FALSE,172,low,1032
Personal Care,"L'Oreal Paris Excellence Creme Hair Color, 4 Natural Brown/Natural Dark Brown",6.2,0,1,6.2,172,FALSE,172,low,172
Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 4 Natural Brown/Natural Dark Brown",6.2,0,1,6.2,172,FALSE,172,low,172
Personal Care,"L'Oreal Paris Excellence Creme Hair Color, 4.25 Aishwarya's Brown",6.2,0,6,6.2,172,FALSE,172,low,1032
Paan Corner,"L'Oreal Paris Excellence Creme Hair Color, 4.25 Aishwarya's Brown",6.2,0,6,6.2,172,FALSE,172,low,1032
Packaged Food,Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ,6.2,0,1,6.2,400,FALSE,400,low,400
Ice Cream & Desserts,Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ,6.2,0,1,6.2,400,FALSE,400,low,400
Chocolates & Candies,Nestle Nan Pro 4 Follow Up Formula Powder For Older Infants ,6.2,0,1,6.2,400,FALSE,400,low,400
Packaged Food,Pediasure Premium Chocolate Powdered Health Drink,6.1,0,2,6.1,400,FALSE,400,low,800
Ice Cream & Desserts,Pediasure Premium Chocolate Powdered Health Drink,6.1,0,2,6.1,400,FALSE,400,low,800
Chocolates & Candies,Pediasure Premium Chocolate Powdered Health Drink,6.1,0,2,6.1,400,FALSE,400,low,800
Personal Care,Sebamed Anti - Dandruff Shampoo,6,10,2,5.4,200,FALSE,200,low,400
Paan Corner,Sebamed Anti - Dandruff Shampoo,6,10,2,5.4,200,FALSE,200,low,400
Home & Cleaning,Surf Excel Quick Wash,6,8,1,5.49,4000,FALSE,4,medium,4000
Personal Care,Mamaearth Skin Correct Face Serum,5.99,15,1,5.09,30,FALSE,30,low,30
Paan Corner,Mamaearth Skin Correct Face Serum,5.99,15,1,5.09,30,FALSE,30,low,30
Cooking Essentials,Gowardhan Ghee Jar,5.98,3,6,5.79,1000,FALSE,1,low,6000
Munchies,Gowardhan Ghee Jar,5.98,3,6,5.79,1000,FALSE,1,low,6000
Packaged Food,Bagrry's Fruit Fibre Muesli Mixed Fruit ,5.95,0,5,5.95,1000,FALSE,1,low,5000
Ice Cream & Desserts,Bagrry's Fruit Fibre Muesli Mixed Fruit ,5.95,0,5,5.95,1000,FALSE,1,low,5000
Chocolates & Candies,Bagrry's Fruit Fibre Muesli Mixed Fruit ,5.95,0,5,5.95,1000,FALSE,1,low,5000
Packaged Food,Bagrrys Fruit N Fibre Muesli - Strawberry,5.95,0,1,5.95,1000,FALSE,1,low,1000
