Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,weight,total inventory weight
Ice Cream & Desserts,Pantai Sriracha Green Chilli Sauce,2.25,15,6,1.91,200,FALSE,200,low,1200
Chocolates & Candies,Pantai Sriracha Green Chilli Sauce,2.25,15,6,1.91,200,FALSE,200,low,1200
Packaged Food,Pantai Sriracha Red Chilli Sauce,2.25,15,6,1.91,200,FALSE,200,low,1200
Ice Cream & Desserts,Pantai Sriracha Red Chilli Sauce,2.25,15,6,1.91,200,FALSE,200,low,1200
Chocolates & Candies,Pantai Sriracha Red Chilli Sauce,2.25,15,6,1.91,200,FALSE,200,low,1200
Packaged Food,Pantai Sriracha Yellow Chilli Sauce,2.25,15,6,1.91,200,FALSE,200,low,1200
Ice Cream & Desserts,Pantai Sriracha Yellow Chilli Sauce,2.25,15,6,1.91,200,FALSE,200,low,1200
Chocolates & Candies,Pantai Sriracha Yellow Chilli Sauce,2.25,15,6,1.91,200,FALSE,200,low,1200
Personal Care,Pantene Silky Smooth Care Shampoo,2.25,6,3,2.1,340,FALSE,340,low,1020
Paan Corner,Pantene Silky Smooth Care Shampoo,2.25,6,3,2.1,340,FALSE,340,low,1020
Home & Cleaning,Surf Excel Matic Front Load Detergent Liquid,2.25,1,6,2.21,1000,FALSE,1,low,6000
Personal Care,Vaseline Intensive Care Aloe Fresh,2.25,9,6,2.03,200,FALSE,200,low,1200
Paan Corner,Vaseline Intensive Care Aloe Fresh,2.25,9,6,2.03,200,FALSE,200,low,1200
Cooking Essentials,Cadbury Cocoa Powder,2.23,5,6,2.11,150,FALSE,150,low,900
Munchies,Cadbury Cocoa Powder,2.23,5,6,2.11,150,FALSE,150,low,900
Home & Cleaning,Ariel Matic Front Load Liquid Detergent,2.2,0,4,2.2,1000,FALSE,1,low,4000
Cooking Essentials,Ceres Foods Fish Mustard Instant Liquid Masala,2.2,50,6,1.1,200,FALSE,200,low,1200
Munchies,Ceres Foods Fish Mustard Instant Liquid Masala,2.2,50,6,1.1,200,FALSE,200,low,1200
"Meats, Fish & Eggs",Ceres Foods Fish Mustard Instant Liquid Masala,2.2,50,6,1.1,200,FALSE,200,low,1200
Cooking Essentials,Ceres Foods Laal Maas Instant Liquid Masala,2.2,50,5,1.1,200,FALSE,200,low,1000
Munchies,Ceres Foods Laal Maas Instant Liquid Masala,2.2,50,5,1.1,200,FALSE,200,low,1000
"Meats, Fish & Eggs",Ceres Foods Laal Maas Instant Liquid Masala,2.2,50,5,1.1,200,FALSE,200,low,1000
Cooking Essentials,Ceres Foods Nalli Nihari Instant Liquid Masala,2.2,50,6,1.1,200,FALSE,200,low,1200
Munchies,Ceres Foods Nalli Nihari Instant Liquid Masala,2.2,50,6,1.1,200,FALSE,200,low,1200
"Meats, Fish & Eggs",Ceres Foods Nalli Nihari Instant Liquid Masala,2.2,50,6,1.1,200,FALSE,200,low,1200
Cooking Essentials,Dabur Honey ,2.2,7,3,2.04,500,FALSE,500,low,1500
Munchies,Dabur Honey ,2.2,7,3,2.04,500,FALSE,500,low,1500
Packaged Food,Ferrero Nutella Hazelnut Spread,2.2,5,2,2.07,180,FALSE,180,low,360
Ice Cream & Desserts,Ferrero Nutella Hazelnut Spread,2.2,5,2,2.07,180,FALSE,180,low,360
Chocolates & Candies,Ferrero Nutella Hazelnut Spread,2.2,5,2,2.07,180,FALSE,180,low,360
Cooking Essentials,Hershey's Chocolate Flavour Syrup,2.2,6,6,2.05,623,FALSE,680,low,3738
Munchies,Hershey's Chocolate Flavour Syrup,2.2,6,6,2.05,623,FALSE,680,low,3738
Packaged Food,Kellogg's All Bran Wheat Flakes,2.2,6,5,2.05,425,FALSE,425,low,2125
Ice Cream & Desserts,Kellogg's All Bran Wheat Flakes,2.2,6,5,2.05,425,FALSE,425,low,2125
Chocolates & Candies,Kellogg's All Bran Wheat Flakes,2.2,6,5,2.05,425,FALSE,425,low,2125
Packaged Food,Kitchens Of India Murgh Methi,2.2,30,5,1.54,285,FALSE,285,low,1425
Ice Cream & Desserts,Kitchens Of India Murgh Methi,2.2,30,5,1.54,285,FALSE,285,low,1425
Chocolates & Candies,Kitchens Of India Murgh Methi,2.2,30,5,1.54,285,FALSE,285,low,1425
Home & Cleaning,Philips EyePro 10.5W Light Bulb,2.2,10,6,1.98,58,FALSE,1,low,348
Personal Care,TRESemme Smooth And Shine Conditioner,2.2,0,5,2.2,190,FALSE,190,low,950
Paan Corner,TRESemme Smooth And Shine Conditioner,2.2,0,5,2.2,190,FALSE,190,low,950
Cooking Essentials,Fortune Kachi Ghani Mustard Oil Bottle,2.16,7,6,1.99,1000,FALSE,1,low,6000
Munchies,Fortune Kachi Ghani Mustard Oil Bottle,2.16,7,6,1.99,1000,FALSE,1,low,6000
"Meats, Fish & Eggs",Fresh Chicken Boneless Cubes (Halal),2.15,5,1,2.04,500,FALSE,500,low,500
"Meats, Fish & Eggs",Fresh Chicken Mince - Kheema (Halal),2.15,5,0,2.04,500,TRUE,500,low,0
Personal Care,Old Spice After Shave Lotion Musk,2.15,6,3,2,100,FALSE,100,low,300
Paan Corner,Old Spice After Shave Lotion Musk,2.15,6,3,2,100,FALSE,100,low,300
Cooking Essentials,"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",2.15,9,4,1.94,1000,FALSE,1,low,4000
Munchies,"Oleev Smart Oil Fortified with VIT A, D, E & K (Pouch)",2.15,9,4,1.94,1000,FALSE,1,low,4000
Personal Care,Parachute Advansed Gold Coconut Hair Oil,2.15,9,0,1.94,400,TRUE,400,low,0
Paan Corner,Parachute Advansed Gold Coconut Hair Oil,2.15,9,0,1.94,400,TRUE,400,low,0
Cooking Essentials,Saffola Gold Oil (Pouch),2.15,0,6,2.15,1000,FALSE,1,low,6000
Munchies,Saffola Gold Oil (Pouch),2.15,0,6,2.15,1000,FALSE,1,low,6000
Cooking Essentials,Sundrop Super Lite Advanced - Sunflower Oil,2.15,0,4,2.15,1000,FALSE,1,low,4000
Munchies,Sundrop Super Lite Advanced - Sunflower Oil,2.15,0,4,2.15,1000,FALSE,1,low,4000
"Dairy, Bread & Batter",The Whole Truth Peanut Butter - Sweetened & Crunchy,2.15,20,6,1.72,325,FALSE,325,low,1950
Beverages,The Whole Truth Peanut Butter - Sweetened & Crunchy,2.15,20,6,1.72,325,FALSE,325,low,1950
Packaged Food,The Whole Truth Peanut Butter - Sweetened & Crunchy,2.15,20,6,1.72,325,FALSE,325,low,1950
Ice Cream & Desserts,The Whole Truth Peanut Butter - Sweetened & Crunchy,2.15,20,6,1.72,325,FALSE,325,low,1950
Chocolates & Candies,The Whole Truth Peanut Butter - Sweetened & Crunchy,2.15,20,6,1.72,325,FALSE,325,low,1950
"Dairy, Bread & Batter",The Whole Truth Peanut Butter With Dates - Creamy No Sugar,2.15,9,6,1.94,325,FALSE,325,low,1950
Beverages,The Whole Truth Peanut Butter With Dates - Creamy No Sugar,2.15,9,6,1.94,325,FALSE,325,low,1950
Packaged Food,The Whole Truth Peanut Butter With Dates - Creamy No Sugar,2.15,9,6,1.94,325,FALSE,325,low,1950
Ice Cream & Desserts,The Whole Truth Peanut Butter With Dates - Creamy No Sugar,2.15,9,6,1.94,325,FALSE,325,low,1950
Chocolates & Candies,The Whole Truth Peanut Butter With Dates - Creamy No Sugar,2.15,9,6,1.94,325,FALSE,325,low,1950
Home & Cleaning,Tide Plus Extra Power Lemon & Mint Detergent Powder,2.15,1,6,2.11,2000,FALSE,2,medium,12000
Personal Care,Glow & Lovely Advanced Multivitamin Face Cream,2.13,10,6,1.9,110,FALSE,110,low,660
Paan Corner,Glow & Lovely Advanced Multivitamin Face Cream,2.13,10,6,1.9,110,FALSE,110,low,660
Personal Care,Axe Dark Temptation Men's Deodorant,2.1,7,5,1.94,150,FALSE,150,low,750
Paan Corner,Axe Dark Temptation Men's Deodorant,2.1,7,5,1.94,150,FALSE,150,low,750
Personal Care,Axe Pulse Men's Deodorant,2.1,0,6,2.1,150,FALSE,150,low,900
Paan Corner,Axe Pulse Men's Deodorant,2.1,0,6,2.1,150,FALSE,150,low,900
Cooking Essentials,Dhara Nourish Refined Sunflower Oil Pouch,2.1,5,6,1.99,1000,FALSE,1,low,6000
Munchies,Dhara Nourish Refined Sunflower Oil Pouch,2.1,5,6,1.99,1000,FALSE,1,low,6000
Personal Care,Engage M1 Perfume Spray for Men ,2.1,7,6,1.94,120,FALSE,120,low,720
Paan Corner,Engage M1 Perfume Spray for Men ,2.1,7,6,1.94,120,FALSE,120,low,720
Home & Cleaning,Eveready Ultima Alkaline AA Cell Battery-6 Pc Pack,2.1,10,6,1.89,348,FALSE,6,low,2088
Cooking Essentials,Fortune Soya Health Refined Soybean Oil,2.1,1,2,2.06,1000,FALSE,1,low,2000
Munchies,Fortune Soya Health Refined Soybean Oil,2.1,1,2,2.06,1000,FALSE,1,low,2000
Cooking Essentials,Fortune Soyabean Oil,2.1,13,0,1.81,1000,TRUE,1,low,0
Munchies,Fortune Soyabean Oil,2.1,13,0,1.81,1000,TRUE,1,low,0
"Meats, Fish & Eggs",Godrej Real Good Chicken Legs ,2.1,10,1,1.89,116,FALSE,2,low,116
Cooking Essentials,Hershey's Hot Chocolate Powder,2.1,0,4,2.1,250,FALSE,250,low,1000
Munchies,Hershey's Hot Chocolate Powder,2.1,0,4,2.1,250,FALSE,250,low,1000
Cooking Essentials,India Gate Basmati Rice,2.1,0,0,2.1,1000,TRUE,1,low,0
Munchies,India Gate Basmati Rice,2.1,0,0,2.1,1000,TRUE,1,low,0
Biscuits,Karachi Bakery Cashew Biscuits ,2.1,5,4,1.99,400,FALSE,400,low,1600
Packaged Food,Kelloggs Special K,2.1,8,5,1.92,435,FALSE,435,low,2175
Ice Cream & Desserts,Kelloggs Special K,2.1,8,5,1.92,435,FALSE,435,low,2175
Chocolates & Candies,Kelloggs Special K,2.1,8,5,1.92,435,FALSE,435,low,2175
Cooking Essentials,Nestle Everyday Dairy Whitener,2.1,0,4,2.1,400,FALSE,400,low,1600
Munchies,Nestle Everyday Dairy Whitener,2.1,0,4,2.1,400,FALSE,400,low,1600
"Dairy, Bread & Batter",Nestle Everyday Dairy Whitener,2.1,0,4,2.1,400,FALSE,400,low,1600
Beverages,Nestle Everyday Dairy Whitener,2.1,0,4,2.1,400,FALSE,400,low,1600
Cooking Essentials,Saffola Active Oil,2.1,0,6,2.1,1000,FALSE,1,low,6000
Munchies,Saffola Active Oil,2.1,0,6,2.1,1000,FALSE,1,low,6000
Personal Care,TRESemme Smooth And Shine Conditioner,2.1,13,1,1.82,190,FALSE,190,low,190
Paan Corner,TRESemme Smooth And Shine Conditioner,2.1,13,1,1.82,190,FALSE,190,low,190
Home & Cleaning,Vanish All in One Powder Detergent Booster,2.1,10,2,1.89,400,FALSE,400,low,800
"Meats, Fish & Eggs",Zorabian Chicken Legs Skinless,2.1,0,1,2.1,450,FALSE,450,low,450
Personal Care,L'Oreal Paris Dream Lengths Conditioner,2.09,0,3,2.09,193,FALSE,193,low,579
Paan Corner,L'Oreal Paris Dream Lengths Conditioner,2.09,0,3,2.09,193,FALSE,193,low,579
Cooking Essentials,Satyam Makhana,2.08,0,6,2.08,100,FALSE,100,low,600
Munchies,Satyam Makhana,2.08,0,6,2.08,100,FALSE,100,low,600
Home & Cleaning,Surf Excel Quick Wash,2.08,6,0,1.95,1000,TRUE,1,low,0
Cooking Essentials,Dhara Life Refined Ricebran Oil (Pouch),2.05,7,6,1.9,1000,FALSE,1,low,6000
Munchies,Dhara Life Refined Ricebran Oil (Pouch),2.05,7,6,1.9,1000,FALSE,1,low,6000
Cooking Essentials,Everest Kesari Milk Masala,2.05,0,2,2.05,50,FALSE,50,low,100
Cooking Essentials,Everest Kesari Milk Masala,2.05,0,6,2.05,50,FALSE,20,low,300
Munchies,Everest Kesari Milk Masala,2.05,0,2,2.05,50,FALSE,50,low,100
Munchies,Everest Kesari Milk Masala,2.05,0,6,2.05,50,FALSE,20,low,300
Home & Cleaning,Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus,2.05,8,3,1.88,975,FALSE,975,low,2925
Home & Cleaning,Lizol Disinfectant Surface & Floor Cleaner Liquid Floral,2.05,8,6,1.88,975,FALSE,975,low,5850
Home & Cleaning,Lizol Disinfectant Surface & Floor Cleaner Liquid Pine,2.05,8,6,1.88,975,FALSE,975,low,5850
Health & Hygiene,Organic India Brahmi Bottle,2.05,20,1,1.64,60,FALSE,60,low,60
Cooking Essentials,Zorabian Chicken Smoked Ham,2.05,5,1,1.94,250,FALSE,250,low,250
Munchies,Zorabian Chicken Smoked Ham,2.05,5,1,1.94,250,FALSE,250,low,250
Packaged Food,Zorabian Chicken Smoked Ham,2.05,5,1,1.94,250,FALSE,250,low,250
Ice Cream & Desserts,Zorabian Chicken Smoked Ham,2.05,5,1,1.94,250,FALSE,250,low,250
Chocolates & Candies,Zorabian Chicken Smoked Ham,2.05,5,1,1.94,250,FALSE,250,low,250
"Meats, Fish & Eggs",Zorabian Chicken Smoked Ham,2.05,5,1,1.94,250,FALSE,250,low,250
Cooking Essentials,Betty Crocker Mug Treats - Chocolate Mix - Pack of 4,2,11,6,1.78,264,FALSE,264,low,1584
Munchies,Betty Crocker Mug Treats - Chocolate Mix - Pack of 4,2,11,6,1.78,264,FALSE,264,low,1584
Packaged Food,Ching's Secret  Noodles - Pad Thai Lemongras,2,0,5,2,130,FALSE,130,low,650
Ice Cream & Desserts,Ching's Secret  Noodles - Pad Thai Lemongras,2,0,5,2,130,FALSE,130,low,650
Chocolates & Candies,Ching's Secret  Noodles - Pad Thai Lemongras,2,0,5,2,130,FALSE,130,low,650
Packaged Food,Ching's Secret  Pad Thai Noodles Green Curry,2,0,6,2,130,FALSE,130,low,780
Ice Cream & Desserts,Ching's Secret  Pad Thai Noodles Green Curry,2,0,6,2,130,FALSE,130,low,780
Chocolates & Candies,Ching's Secret  Pad Thai Noodles Green Curry,2,0,6,2,130,FALSE,130,low,780
Packaged Food,Ching's Secret Noodles - Pad Thai Original,2,0,6,2,130,FALSE,130,low,780
Ice Cream & Desserts,Ching's Secret Noodles - Pad Thai Original,2,0,6,2,130,FALSE,130,low,780
Chocolates & Candies,Ching's Secret Noodles - Pad Thai Original,2,0,6,2,130,FALSE,130,low,780
Packaged Food,Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli,2,0,6,2,130,FALSE,130,low,780
Ice Cream & Desserts,Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli,2,0,6,2,130,FALSE,130,low,780
Chocolates & Candies,Ching's Secret Pad Thai Noodles - Extra Hot Thai Chilli,2,0,6,2,130,FALSE,130,low,780
Personal Care,Engage M2 Perfume Spray For Men,2,10,6,1.8,120,FALSE,120,low,720
Paan Corner,Engage M2 Perfume Spray For Men,2,10,6,1.8,120,FALSE,120,low,720
Personal Care,Engage M3 Perfume Spray for Men,2,10,3,1.8,120,FALSE,120,low,360
Paan Corner,Engage M3 Perfume Spray for Men,2,10,3,1.8,120,FALSE,120,low,360
Personal Care,Engage M4 Perfume Spray For Men,2,10,6,1.8,120,FALSE,120,low,720
Paan Corner,Engage M4 Perfume Spray For Men,2,10,6,1.8,120,FALSE,120,low,720
"Dairy, Bread & Batter",Epigamia Greek Yogurt - Natural,2,0,1,2,400,FALSE,400,low,400
Beverages,Epigamia Greek Yogurt - Natural,2,0,1,2,400,FALSE,400,low,400
"Meats, Fish & Eggs",Godrej Real Good Chicken Marinated Lollipop ,2,10,2,1.8,580,FALSE,10,low,1160
Cooking Essentials,Hersheys Chocolate Almond Syrup,2,0,2,2,450,FALSE,450,low,900
Munchies,Hersheys Chocolate Almond Syrup,2,0,2,2,450,FALSE,450,low,900
Cooking Essentials,Hershey's Chocolate Milk Booster,2,0,6,2,450,FALSE,450,low,2700
Munchies,Hershey's Chocolate Milk Booster,2,0,6,2,450,FALSE,450,low,2700
Personal Care,Himalaya Baby Nourishing Massage Oil,2,20,2,1.6,200,FALSE,250,low,400
Paan Corner,Himalaya Baby Nourishing Massage Oil,2,20,2,1.6,200,FALSE,250,low,400
Personal Care,HImalaya Gentle Baby Wipes,2,10,3,1.8,72,FALSE,72,low,216
Paan Corner,HImalaya Gentle Baby Wipes,2,10,3,1.8,72,FALSE,72,low,216
Personal Care,Johnson's Baby Oil,2,0,6,2,200,FALSE,200,low,1200
Paan Corner,Johnson's Baby Oil,2,0,6,2,200,FALSE,200,low,1200
Packaged Food,Kitchens Of India Chicken Chettinad,2,30,1,1.4,285,FALSE,285,low,285
Ice Cream & Desserts,Kitchens Of India Chicken Chettinad,2,30,1,1.4,285,FALSE,285,low,285
Chocolates & Candies,Kitchens Of India Chicken Chettinad,2,30,1,1.4,285,FALSE,285,low,285
Packaged Food,Kitchens Of India Chicken Darbari ,2,30,4,1.4,285,FALSE,285,low,1140
Ice Cream & Desserts,Kitchens Of India Chicken Darbari ,2,30,4,1.4,285,FALSE,285,low,1140
Chocolates & Candies,Kitchens Of India Chicken Darbari ,2,30,4,1.4,285,FALSE,285,low,1140
Cooking Essentials,MTR Vada Breakfast,2,0,1,2,500,FALSE,500,low,500
Munchies,MTR Vada Breakfast,2,0,1,2,500,FALSE,500,low,500
Home & Cleaning,Oxi Green Phenyl Concentrate,2,10,6,1.8,1000,FALSE,1,low,6000
Cooking Essentials,Popular Essentials Green Cardamom (Elaichi),2,1,6,1.98,50,FALSE,50,low,300
Munchies,Popular Essentials Green Cardamom (Elaichi),2,1,6,1.98,50,FALSE,50,low,300
Home & Cleaning,Scotch Brite Sponge Wipes,2,0,2,2,174,FALSE,3,low,348
Home & Cleaning,Surf Excel Matic Top Load Detergent Powder,2,6,1,1.88,1000,FALSE,1,low,1000
Cooking Essentials,Tong Garden Wasabi Coated Greenpeas Tin,2,11,6,1.78,180,FALSE,180,low,1080
Munchies,Tong Garden Wasabi Coated Greenpeas Tin,2,11,6,1.78,180,FALSE,180,low,1080
Packaged Food,Wingreens Farms Chipotle Dip,2,25,1,1.5,180,FALSE,180,low,180
Ice Cream & Desserts,Wingreens Farms Chipotle Dip,2,25,1,1.5,180,FALSE,180,low,180
Chocolates & Candies,Wingreens Farms Chipotle Dip,2,25,1,1.5,180,FALSE,180,low,180
"Dairy, Bread & Batter",D'lecta Cheddar Cheese,1.99,5,6,1.89,200,FALSE,200,low,1200
Beverages,D'lecta Cheddar Cheese,1.99,5,6,1.89,200,FALSE,200,low,1200
"Dairy, Bread & Batter",Dlecta Natural Cheddar Slices,1.99,5,6,1.89,200,FALSE,200,low,1200
Beverages,Dlecta Natural Cheddar Slices,1.99,5,6,1.89,200,FALSE,200,low,1200
Personal Care,Fiama Di Wills Shower Gel Patchouli & Macadamia,1.99,10,6,1.79,250,FALSE,250,low,1500
Paan Corner,Fiama Di Wills Shower Gel Patchouli & Macadamia,1.99,10,6,1.79,250,FALSE,250,low,1500
Personal Care,Fiama Men's Refreshing Pulse Shower Gel,1.99,10,6,1.79,250,FALSE,250,low,1500
Paan Corner,Fiama Men's Refreshing Pulse Shower Gel,1.99,10,6,1.79,250,FALSE,250,low,1500
Personal Care,Fiama Scents Juniper & Geranium Body Wash,1.99,6,5,1.86,250,FALSE,250,low,1250
Paan Corner,Fiama Scents Juniper & Geranium Body Wash,1.99,6,5,1.86,250,FALSE,250,low,1250
Personal Care,"Garnier Skin Naturals, Micellar Cleansing Water",1.99,5,4,1.89,125,FALSE,125,low,500
Paan Corner,"Garnier Skin Naturals, Micellar Cleansing Water",1.99,5,4,1.89,125,FALSE,125,low,500
Personal Care,Gillette Classic Regular Pre Shave Foam,1.99,0,4,1.99,196,FALSE,196,low,784
Paan Corner,Gillette Classic Regular Pre Shave Foam,1.99,0,4,1.99,196,FALSE,196,low,784
Personal Care,Gillette Lemon Lime Shaving Foam,1.99,11,4,1.77,196,FALSE,196,low,784
Paan Corner,Gillette Lemon Lime Shaving Foam,1.99,11,4,1.77,196,FALSE,196,low,784
Personal Care,L'Oreal Anti Hair Fall Conditioner,1.99,0,6,1.99,192,FALSE,192,low,1152
Paan Corner,L'Oreal Anti Hair Fall Conditioner,1.99,0,6,1.99,192,FALSE,192,low,1152
Personal Care,L'Oreal Paris Color Protect Conditioner,1.99,0,3,1.99,192,FALSE,192,low,576
Paan Corner,L'Oreal Paris Color Protect Conditioner,1.99,0,3,1.99,192,FALSE,192,low,576
Personal Care,L'Oreal Paris Dream Lengths Conditioner,1.99,0,1,1.99,193,FALSE,193,low,193
Paan Corner,L'Oreal Paris Dream Lengths Conditioner,1.99,0,1,1.99,193,FALSE,193,low,193
Personal Care,L'Oreal Paris Total Repair 5 Conditioner,1.99,0,6,1.99,192,FALSE,180,low,1152
Paan Corner,L'Oreal Paris Total Repair 5 Conditioner,1.99,0,6,1.99,192,FALSE,180,low,1152
Cooking Essentials,Maggi Magic Cubes Extra Chicken,1.99,0,2,1.99,240,FALSE,240,low,480
Cooking Essentials,Maggi Magic Cubes Extra Chicken,1.99,10,6,1.79,240,FALSE,240,low,1440
Munchies,Maggi Magic Cubes Extra Chicken,1.99,0,2,1.99,240,FALSE,240,low,480
Munchies,Maggi Magic Cubes Extra Chicken,1.99,10,6,1.79,240,FALSE,240,low,1440
Personal Care,Mamaearth Daily Moisturizing Lotion For Babies,1.99,0,6,1.99,200,FALSE,200,low,1200
Paan Corner,Mamaearth Daily Moisturizing Lotion For Babies,1.99,0,6,1.99,200,FALSE,200,low,1200
Personal Care,Mamaearth Deeply Nourishing wash for Babies,1.99,0,4,1.99,200,FALSE,200,low,800
Paan Corner,Mamaearth Deeply Nourishing wash for Babies,1.99,0,4,1.99,200,FALSE,200,low,800
Personal Care,Nivea Men Active Clean with Active Charcoal Shower Gel for Body Face & Hair,1.99,4,5,1.91,250,FALSE,250,low,1250
Paan Corner,Nivea Men Active Clean with Active Charcoal Shower Gel for Body Face & Hair,1.99,4,5,1.91,250,FALSE,250,low,1250
Personal Care,Nivea Women Deodorant Fresh Natural Long Lasting Freshness & 48h Protection,1.99,20,2,1.59,150,FALSE,150,low,300
Paan Corner,Nivea Women Deodorant Fresh Natural Long Lasting Freshness & 48h Protection,1.99,20,2,1.59,150,FALSE,150,low,300
Personal Care,Nupur Heena Mehandi,1.99,0,6,1.99,500,FALSE,500,low,3000
Paan Corner,Nupur Heena Mehandi,1.99,0,6,1.99,500,FALSE,500,low,3000
Home & Cleaning,Om Bhakti - Pancha Deepa Oil ,1.99,10,6,1.79,1000,FALSE,1,low,6000
Personal Care,Palmolive Aroma Absolute Relax Shower Gel,1.99,20,2,1.59,250,FALSE,250,low,500
Paan Corner,Palmolive Aroma Absolute Relax Shower Gel,1.99,20,2,1.59,250,FALSE,250,low,500
Personal Care,Pears Pure And Gentle Value Pack Of 3 Bathing Soap,1.99,6,5,1.86,375,FALSE,375,low,1875
Paan Corner,Pears Pure And Gentle Value Pack Of 3 Bathing Soap,1.99,6,5,1.86,375,FALSE,375,low,1875
Cooking Essentials,Quaker Oats,1.99,7,6,1.84,1000,FALSE,1,low,6000
Munchies,Quaker Oats,1.99,7,6,1.84,1000,FALSE,1,low,6000
Packaged Food,Quaker Oats,1.99,7,6,1.84,1000,FALSE,1,low,6000
Ice Cream & Desserts,Quaker Oats,1.99,7,6,1.84,1000,FALSE,1,low,6000
Chocolates & Candies,Quaker Oats,1.99,7,6,1.84,1000,FALSE,1,low,6000
Personal Care,Set Wet Deodrant Charm Avatar,1.99,0,1,1.99,150,FALSE,150,low,150
Paan Corner,Set Wet Deodrant Charm Avatar,1.99,0,1,1.99,150,FALSE,150,low,150
Personal Care,Set Wet Swag Avatar Deodorant & Body Spray Perfume For Men,1.99,0,1,1.99,150,FALSE,150,low,150
Paan Corner,Set Wet Swag Avatar Deodorant & Body Spray Perfume For Men,1.99,0,1,1.99,150,FALSE,150,low,150
Cooking Essentials,Amul Fresh Cream,1.97,3,3,1.91,1000,FALSE,1,low,3000
Munchies,Amul Fresh Cream,1.97,3,3,1.91,1000,FALSE,1,low,3000
"Dairy, Bread & Batter",Amul Fresh Cream,1.97,3,3,1.91,1000,FALSE,1,low,3000
Beverages,Amul Fresh Cream,1.97,3,3,1.91,1000,FALSE,1,low,3000
Packaged Food,Amul Spray Infant Milk Food,1.97,2,6,1.93,500,FALSE,500,low,3000
Ice Cream & Desserts,Amul Spray Infant Milk Food,1.97,2,6,1.93,500,FALSE,500,low,3000
Chocolates & Candies,Amul Spray Infant Milk Food,1.97,2,6,1.93,500,FALSE,500,low,3000
Health & Hygiene,Dabur Ayurvedic Tulsi Drops (Immunity Booster),1.95,6,6,1.82,30,FALSE,30,low,180
Personal Care,Engage Deo Frost,1.95,9,6,1.76,150,FALSE,150,low,900
Paan Corner,Engage Deo Frost,1.95,9,6,1.76,150,FALSE,150,low,900
Personal Care,"Engage Drizzle Deodorant For Women, Floral And Lavender, Skin Friendly",1.95,10,6,1.74,150,FALSE,150,low,900
Paan Corner,"Engage Drizzle Deodorant For Women, Floral And Lavender, Skin Friendly",1.95,10,6,1.74,150,FALSE,150,low,900
Personal Care,Engage Man Rush Deodorant,1.95,9,6,1.76,150,FALSE,150,low,900
Paan Corner,Engage Man Rush Deodorant,1.95,9,6,1.76,150,FALSE,150,low,900
Personal Care,Engage Mate For Man Deo Spray,1.95,10,5,1.74,150,FALSE,150,low,750
Paan Corner,Engage Mate For Man Deo Spray,1.95,10,5,1.74,150,FALSE,150,low,750
Personal Care,"Engage Urge Deodorant For Men, Citrus And Woody, Skin Friendly",1.95,10,6,1.74,150,FALSE,150,low,900
Paan Corner,"Engage Urge Deodorant For Men, Citrus And Woody, Skin Friendly",1.95,10,6,1.74,150,FALSE,150,low,900
Personal Care,Engage Woman Blush Body Deo Spray,1.95,10,5,1.74,150,FALSE,150,low,750
Paan Corner,Engage Woman Blush Body Deo Spray,1.95,10,5,1.74,150,FALSE,150,low,750
Personal Care,Head & Shoulders 2 In 1 Anti Dandruff Shampoo Conditioner ,1.95,10,4,1.74,180,FALSE,180,low,720
Paan Corner,Head & Shoulders 2 In 1 Anti Dandruff Shampoo Conditioner ,1.95,10,4,1.74,180,FALSE,180,low,720
Cooking Essentials,Masala Oats Masala & Coriander ,1.95,9,5,1.76,500,FALSE,500,low,2500
Munchies,Masala Oats Masala & Coriander ,1.95,9,5,1.76,500,FALSE,500,low,2500
Packaged Food,Masala Oats Masala & Coriander ,1.95,9,5,1.76,500,FALSE,500,low,2500
Ice Cream & Desserts,Masala Oats Masala & Coriander ,1.95,9,5,1.76,500,FALSE,500,low,2500
Chocolates & Candies,Masala Oats Masala & Coriander ,1.95,9,5,1.76,500,FALSE,500,low,2500
Cooking Essentials,MTR Instant Gulab Jamun Mix,1.95,9,6,1.76,500,FALSE,500,low,3000
Munchies,MTR Instant Gulab Jamun Mix,1.95,9,6,1.76,500,FALSE,500,low,3000
Cooking Essentials,Saffola Everyday Peppy Tomato Masala Oats,1.95,12,6,1.71,500,FALSE,500,low,3000
Munchies,Saffola Everyday Peppy Tomato Masala Oats,1.95,12,6,1.71,500,FALSE,500,low,3000
Packaged Food,Saffola Everyday Peppy Tomato Masala Oats,1.95,12,6,1.71,500,FALSE,500,low,3000
Ice Cream & Desserts,Saffola Everyday Peppy Tomato Masala Oats,1.95,12,6,1.71,500,FALSE,500,low,3000
Chocolates & Candies,Saffola Everyday Peppy Tomato Masala Oats,1.95,12,6,1.71,500,FALSE,500,low,3000
Cooking Essentials,Saffola Veggie Twist Masala Oats,1.95,12,2,1.71,500,FALSE,500,low,1000
Munchies,Saffola Veggie Twist Masala Oats,1.95,12,2,1.71,500,FALSE,500,low,1000
Packaged Food,Saffola Veggie Twist Masala Oats,1.95,12,2,1.71,500,FALSE,500,low,1000
